system,body,name,sort_order,location_type,is_active,is_trade_terminal,is_freight_elevator,confidence,notes
Nyx,Deep Space,Pyro Gateway (Nyx),1,jump-point,true,true,false,verified,At Pyro-Nyx jump inside Nyx; full trade services
Nyx,Delamar,Levski (Delamar),1,city,true,true,true,verified,Main Nyx hub; returned Alpha 4.4; People's Alliance free-town in Glaciem Ring
Nyx,Delamar,Delamar,2,asteroid,true,false,false,verified,Large asteroid in Glaciem Ring; hosts Levski
Nyx,Keeger Belt,People's Service Station Alpha,1,rest-stop,true,true,false,verified,People's Alliance; added Alpha 4.7
Nyx,Keeger Belt,People's Service Station Delta,2,rest-stop,true,true,false,verified,People's Alliance; added Alpha 4.7
Nyx,Keeger Belt,People's Service Station Lambda,3,rest-stop,true,true,false,verified,People's Alliance; added Alpha 4.7
Nyx,Keeger Belt,People's Service Station Theta,4,rest-stop,true,true,false,verified,People's Alliance; added Alpha 4.7
Pyro,Adir,Adir,1,moon,true,false,false,verified,Pyro V moon; 700 km obsidian streak
Pyro,Adir,Prophet's Peak,2,outpost,true,false,false,verified,On southern cliffside of the Obsidian Crack
Pyro,Deep Space,Stanton Gateway (Pyro-side),1,jump-point,true,true,false,verified,
Pyro,Deep Space,Nyx Gateway (Pyro-side),2,jump-point,true,true,false,verified,
Pyro,Deep Space,RAB-Alpha,3,outpost,true,true,false,verified,Former Pyrotechnic Amalgamated base; outlaw
Pyro,Fairo,Fairo,1,moon,true,false,false,verified,Pyro V moon; equatorial ocean
Pyro,Fairo,FEO Canyon Depot,2,outpost,true,true,false,verified,Confirmed commodity trade
Pyro,Fuego,Fuego,1,moon,true,false,false,verified,Pyro V moon; iron-sulfide surface
Pyro,Ignis,Ignis,1,moon,true,false,false,verified,Innermost Pyro V moon; dry canyons
Pyro,Ignis,Kabir's Post,2,outpost,true,true,false,verified,Citizens for Prosperity
Pyro,Ignis,Ashland,3,outpost,true,false,false,verified,Headhunters scrapyard
Pyro,Pyro I,Pyro I,1,planet,true,false,false,verified,Extreme; close to Pyro star
Pyro,Pyro I,Rustville,2,outpost,true,true,false,verified,Headhunters; confirmed shop terminal
Pyro,Pyro I,Stag's Rut,3,outpost,true,true,false,verified,Headhunters; confirmed shop terminal
Pyro,Pyro I,Gray Gardens Depot,4,outpost,true,true,false,community-sourced,Storage depot
Pyro,Pyro II,Monox (Pyro II),1,station,true,true,false,verified,Main station for Pyro II / Monox
Pyro,Pyro II,Pyro II,2,planet,true,false,false,verified,Nickname: Monox; coreless toxic world
Pyro,Pyro II,Checkmate,3,station,true,true,true,verified,Rough & Ready HQ at Monox L4; full services incl. refinery
Pyro,Pyro II,Arid Reach,4,outpost,true,true,false,verified,Headhunters; confirmed shop terminal
Pyro,Pyro II,Ostler's Claim,5,outpost,true,true,false,verified,Headhunters; confirmed shop terminal
Pyro,Pyro II,Jackson's Swap,6,salvage,true,true,false,verified,Citizens for Prosperity; confirmed shop terminal
Pyro,Pyro II,Sunset Mesa,7,salvage,true,true,false,verified,Citizens for Prosperity; confirmed shop terminal
Pyro,Pyro II,Yang's Place,8,outpost,true,true,false,verified,Citizens for Prosperity; confirmed shop terminal
Pyro,Pyro II,Last Ditch,9,outpost,true,false,false,verified,XenoThreat; no confirmed commodity terminal
Pyro,Pyro II,Slowburn Depot,10,outpost,true,true,false,verified,Independent; commodity terminal confirmed
Pyro,Pyro III,Bloom (Pyro III),1,station,true,true,false,verified,Main station for Pyro III / Bloom
Pyro,Pyro III,Pyro III,2,planet,true,false,false,verified,Nickname: Bloom; icy breathable world
Pyro,Pyro III,Orbituary,3,station,true,true,true,verified,Rough & Ready; high orbit above Bloom; refinery + full services
Pyro,Pyro III,Patch City,4,station,true,true,false,verified,Rough & Ready at Bloom L3
Pyro,Pyro III,Starlight Service Station,5,station,true,true,false,verified,Citizens for Prosperity at Bloom L1
Pyro,Pyro III,Bueno Ravine,6,outpost,true,true,false,verified,Citizens for Prosperity; confirmed shop terminal
Pyro,Pyro III,Frigid Knot,7,outpost,true,true,false,verified,Citizens for Prosperity; confirmed shop terminal
Pyro,Pyro III,Narena's Rest,8,outpost,true,true,false,verified,Citizens for Prosperity; confirmed shop terminal
Pyro,Pyro III,Shepherd's Rest,9,settlement,true,true,false,verified,Citizens for Prosperity farming outpost
Pyro,Pyro III,Carver's Ridge,10,outpost,true,true,false,verified,Headhunters; confirmed shop terminal
Pyro,Pyro III,The Golden Riviera,11,outpost,true,true,false,verified,Headhunters; trespassing hostile
Pyro,Pyro III,Windfall,12,outpost,true,true,false,verified,Headhunters; confirmed shop terminal
Pyro,Pyro III,The Yard,13,outpost,true,true,false,verified,Headhunters; trespassing hostile
Pyro,Pyro III,Prospect Depot,14,outpost,true,true,false,verified,Independent depot; commodity terminal confirmed
Pyro,Pyro III,Shadowfall,15,outpost,true,false,false,verified,XenoThreat; no confirmed commodity terminal
Pyro,Pyro IV,Pyro IV,1,planet,true,false,false,verified,Rocky toxic protoplanet; no major hub
Pyro,Pyro IV,Chawla's Beach,2,outpost,true,false,false,verified,
Pyro,Pyro IV,Sacren's Plot,3,outpost,true,false,false,verified,Canyon outpost ~15 km east of Chawla's Beach
Pyro,Pyro IV,Fallow Field,4,outpost,true,false,false,verified,Headhunters; inside giant impact crater stone arch
Pyro,Pyro V,Pyro V,1,planet,true,false,false,verified,"Gas giant; 6 moons: Ignis, Adir, Fairo, Fuego, Vatra, Vuur"
Pyro,Pyro V,Gaslight,2,station,true,true,false,verified,Rough & Ready at Pyro V L2
Pyro,Pyro V,Rod's Fuel 'N Supplies,3,station,true,true,false,verified,Rough & Ready at Pyro V L4; formerly PYAM-FARSTAT-5-4
Pyro,Pyro V,Rat's Nest,4,station,true,true,false,verified,Rough & Ready at Pyro V L5
Pyro,Pyro VI,Terminus (Pyro VI),1,station,true,true,false,verified,Primary station for Pyro VI / Terminus
Pyro,Pyro VI,Pyro VI,2,planet,true,false,false,verified,Nickname: Terminus; outermost Pyro planet
Pyro,Pyro VI,Ruin Station,3,station,true,true,true,verified,"Main Pyro hub at Terminus L1; XenoThreat; Ghost Arena, refinery, marketplace"
Pyro,Pyro VI,Endgame,4,station,true,true,false,verified,Rough & Ready at Terminus L3
Pyro,Pyro VI,Dudley & Daughters,5,station,true,true,false,verified,Citizens for Prosperity at Terminus L4
Pyro,Pyro VI,Megumi Refueling,6,station,true,true,false,verified,Rough & Ready at Terminus L5; fuel focused
Pyro,Pyro VI,Blackrock Exchange,7,outpost,true,false,false,verified,Citizens for Prosperity
Pyro,Pyro VI,Bullock's Reach,8,outpost,true,false,false,verified,Citizens for Prosperity
Pyro,Pyro VI,Canard View,9,outpost,true,false,false,verified,
Pyro,Pyro VI,Kinder Plots,10,outpost,true,false,false,verified,
Pyro,Pyro VI,Last Landings,11,outpost,true,false,false,verified,
Pyro,Pyro VI,Rough Landing,12,outpost,true,false,false,verified,Headhunters
Pyro,Pyro VI,Scarper's Turn,13,outpost,true,false,false,verified,XenoThreat
Pyro,Pyro VI,Stonetree,14,outpost,true,false,false,verified,
